ethnicity,number_admitted,number_admitted_qf,percent_admitted,percent_admitted_qf,date,year,month,day,week,weekday,season
unknown,157,NA,12.25,NA,2023-01-01,2023,1,1,1,Sun,winter
white,1100,NA,85.8,NA,2023-01-01,2023,1,1,1,Sun,winter
african,NA,c,NA,c,2023-02-01,2023,2,1,5,Wed,winter
"asian,_asian_scottish_or_asian_british",17,NA,1.79,NA,2023-02-01,2023,2,1,5,Wed,winter
caribbean_or_black,NA,c,NA,c,2023-02-01,2023,2,1,5,Wed,winter
mixed_or_multiple_ethnic_groups,NA,c,NA,c,2023-02-01,2023,2,1,5,Wed,winter
other,NA,c,NA,c,2023-02-01,2023,2,1,5,Wed,winter
unknown,127,NA,13.4,NA,2023-02-01,2023,2,1,5,Wed,winter
white,794,NA,83.76,NA,2023-02-01,2023,2,1,5,Wed,winter
african,5,NA,0.28,NA,2023-03-01,2023,3,1,9,Wed,spring
"asian,_asian_scottish_or_asian_british",28,NA,1.57,NA,2023-03-01,2023,3,1,9,Wed,spring
caribbean_or_black,NA,c,NA,c,2023-03-01,2023,3,1,9,Wed,spring
mixed_or_multiple_ethnic_groups,NA,c,NA,c,2023-03-01,2023,3,1,9,Wed,spring
other,5,NA,0.28,NA,2023-03-01,2023,3,1,9,Wed,spring
unknown,228,NA,12.82,NA,2023-03-01,2023,3,1,9,Wed,spring
white,1507,NA,84.76,NA,2023-03-01,2023,3,1,9,Wed,spring
african,7,NA,0.57,NA,2023-04-01,2023,4,1,13,Sat,spring
"asian,_asian_scottish_or_asian_british",17,NA,1.38,NA,2023-04-01,2023,4,1,13,Sat,spring
caribbean_or_black,NA,c,NA,c,2023-04-01,2023,4,1,13,Sat,spring
mixed_or_multiple_ethnic_groups,NA,c,NA,c,2023-04-01,2023,4,1,13,Sat,spring
other,7,NA,0.57,NA,2023-04-01,2023,4,1,13,Sat,spring
unknown,142,NA,11.52,NA,2023-04-01,2023,4,1,13,Sat,spring
white,1054,NA,85.48,NA,2023-04-01,2023,4,1,13,Sat,spring
